"Station meteorologique";"Amenagement";"Ouvrage";"Date";"Nombre Date";"Temperature min (C)";"Temperature max (C)";"Pluie-jour (mm)";"Neige-jour (cm)";"Degres-jours de gel cumulatifs(C-j)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-12";32398;7.7;16;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-13";32399;6.6;16;1.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-14";32400;6.1;16;9.1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-15";32401;2.7;13.3;2.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-16";32402;2.2;13.3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-17";32403;.5;17.2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-18";32404;4.9;15.5;6.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-19";32405;10.5;16.6;9.6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-20";32406;10.5;21.6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-21";32407;11.6;19.9;8.1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-22";32408;8.3;16.6;.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-23";32409;4.9;14.4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-24";32410;7.2;13.3;6.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-25";32411;3.8;14.9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-26";32412;.5;16.6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-27";32413;3.8;14.4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-28";32414;3.8;8.8;9.6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-29";32415;2.7;12.2;.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-09-30";32416;-1.1;12.7;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-01";32417;5.5;11.6;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-02";32418;11;21;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-03";32419;6.1;17.2;32.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-04";32420;1.1;11;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-05";32421;.5;9.9;1.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-06";32422;1.1;7.2;2.5;1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-07";32423;-1.6;9.9;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-08";32424;-1.6;9.4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-09";32425;-.5;7.7;.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-10";32426;.5;6.6;.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-11";32427;-1.1;9.9;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-12";32428;2.7;8.8;7.1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-13";32429;;4.4;.7;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-14";32430;-1.6;3.3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-15";32431;-1.6;3.3;6.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-16";32432;-1.1;8.3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-17";32433;2.7;9.9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-18";32434;6.1;16.6;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-19";32435;.5;15.5;9.1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-20";32436;-2.7;5.5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-21";32437;-4.4;4.9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-22";32438;-4.9;7.2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-23";32439;-.5;3.8;10.1;.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-24";32440;1.6;4.4;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-25";32441;1.6;6.1;10.1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-26";32442;-.5;6.1;3.8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-27";32443;1.1;6.1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-28";32444;0;5.5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-29";32445;0;8.3;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-30";32446;-2.7;2.7;.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-10-31";32447;-5.5;-.5;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-01";32448;-8.8;2.2;0;0;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-02";32449;-3.3;3.8;.5;1;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-03";32450;1.1;3.8;11.6;12.6;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-04";32451;-2.2;4.4;1;0;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-05";32452;-2.7;4.9;1.5;0;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-06";32453;3.3;8.8;7.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-07";32454;3.8;12.2;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-08";32455;1.6;6.6;1.7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-09";32456;1.1;5.5;2.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-10";32457;1.1;4.4;.7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-11";32458;0;8.8;9.1;5.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-12";32459;-3.3;3.8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-13";32460;-4.4;0;0;0;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-14";32461;-2.7;2.2;17;0;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-15";32462;1.1;4.9;7.1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-16";32463;-.5;3.8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-17";32464;-2.7;7.2;.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-18";32465;.5;9.9;1.2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-19";32466;-3.3;2.2;0;0;.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-20";32467;-7.2;1.1;0;0;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-21";32468;-3.3;-1.1;0;6.3;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-22";32469;-2.7;.5;0;3.8;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-23";32470;-6.6;-1.1;0;0;10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-24";32471;-8.8;-2.2;0;0;16.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-25";32472;-9.9;-2.2;0;0;22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-26";32473;-11;-.5;0;0;28.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-27";32474;-7.2;3.3;0;0;30.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-28";32475;-2.2;5.5;1.5;0;28.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-29";32476;0;4.9;2;.7;26.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-11-30";32477;-8.3;0;0;0;30.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-01";32478;-7.2;-1.1;0;4.5;34.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-02";32479;-8.3;1.6;.2;1.2;38.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-03";32480;-11.6;-1.1;0;2.2;44.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-04";32481;-4.9;1.6;.7;.2;46.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-05";32482;-14.4;-4.9;0;0;55.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-06";32483;-15.5;-8.8;0;0;68.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-07";32484;-12.7;-.5;0;1.7;74.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-08";32485;-11.6;1.1;0;0;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-09";32486;-14.4;-6.1;0;.2;90.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-10";32487;-19.4;-12.2;0;.7;106.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-11";32488;-24.9;-17.7;0;0;127.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-12";32489;-25.5;-17.7;0;0;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-13";32490;-24.4;-14.4;0;0;168.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-14";32491;;-7.7;0;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-15";32492;-8.8;-3.8;0;2.2;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-16";32493;-18.3;-2.7;0;9.6;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-17";32494;-27.1;-17.2;0;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-18";32495;-27.1;-13.3;0;.5;59.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-19";32496;-21.6;-12.7;0;0;76.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-20";32497;-19.4;-8.3;0;.2;90.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-21";32498;-12.2;3.3;2;2.2;94.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-22";32499;-13.8;5.5;.2;0;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-23";32500;-18.3;-10.5;0;0;113.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-24";32501;-16.6;-3.8;0;6.3;123.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-25";32502;-5.5;1.1;0;4.5;125.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-26";32503;-8.3;0;;5;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-27";32504;-18.3;-8.3;0;0;143.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-28";32505;-19.9;-5.5;0;10.9;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-29";32506;-14.4;.5;0;3.5;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-30";32507;-24.4;-13.8;0;0;182.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1988-12-31";32508;-24.9;-12.2;0;2.5;200.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-01";32509;-23.8;-8.3;0;2;216.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-02";32510;-28.8;-14.9;0;0;238.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-03";32511;-15.5;-9.9;0;9.3;251.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-04";32512;-25.5;-11.6;0;0;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-05";32513;-30.5;-21;0;0;295.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-06";32514;-24.9;-16;0;0;316.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-07";32515;-28.3;-15.5;0;0;338.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-08";32516;-19.9;-7.2;0;.5;351.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-09";32517;-7.7;4.9;14.9;.5;353.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-10";32518;-19.9;-4.9;0;.5;365.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-11";32519;-22.7;-6.1;0;0;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-12";32520;-21;-4.9;0;.7;393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-13";32521;-21;1.1;.2;6.6;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-14";32522;-17.7;-2.2;0;.5;413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-15";32523;-16.6;-1.6;0;.2;422.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-16";32524;-7.7;0;0;4.8;426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-17";32525;-17.2;-4.9;0;0;437.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-18";32526;-17.7;-4.4;0;;448.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-19";32527;-11.6;-5.5;0;2;456.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-20";32528;-8.3;-4.4;0;4.8;463.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-21";32529;-16;-3.3;0;8.6;472.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-22";32530;-23.8;-13.8;0;0;491.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-23";32531;-18.8;-5.5;0;2.2;503.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-24";32532;-9.4;1.6;0;0;507.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-25";32533;-13.8;0;0;0;514.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-26";32534;-21.6;-11.6;0;0;531.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-27";32535;-21;-6.1;0;13.7;544.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-28";32536;-17.2;-4.9;0;.7;556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-29";32537;-17.7;-.5;0;0;565.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-30";32538;-8.8;0;0;0;569.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-01-31";32539;-7.7;-1.6;0;7.6;574.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-01";32540;-7.7;2.2;.7;5.5;577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-02";32541;-18.3;1.6;.7;1;585.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-03";32542;-20.5;-13.3;0;.5;602.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-04";32543;-17.7;-13.3;3.8;2.2;617.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-05";32544;-27.1;-17.2;0;0;640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-06";32545;-28.3;-12.2;0;0;660.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-07";32546;-18.3;-7.7;0;2.2;673.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-08";32547;-17.7;-6.6;0;1;685.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-09";32548;-16;-6.6;0;5;696.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-10";32549;-21.6;-8.8;0;1.7;712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-11";32550;-14.9;-8.3;0;3;723.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-12";32551;-14.9;-4.9;0;2.5;733.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-13";32552;-17.2;-6.1;0;4.3;745.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-14";32553;-22.7;-5.5;0;3;759.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-15";32554;-6.6;2.2;.2;2;761.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-16";32555;-8.8;-1.6;0;2.5;766.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-17";32556;-23.8;-5.5;0;0;781.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-18";32557;-27.7;-13.8;0;0;802.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-19";32558;-29.9;-14.9;0;0;824.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-20";32559;-22.7;-6.6;0;2;839.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-21";32560;-8.8;-1.6;0;1;844.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-22";32561;-8.8;-2.2;0;18.7;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-23";32562;-12.7;-1.6;0;0;857.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-24";32563;-19.9;-9.4;0;0;871.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-25";32564;-23.8;-10.5;0;0;889.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-26";32565;-24.4;-7.7;0;0;905.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-27";32566;-19.4;-7.2;0;.2;918.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-02-28";32567;-21;-4.9;0;0;931.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BASSIN-LGA";"LGA";"LGABAR";"1989-03-01";32568;-19.9;-3.3;0;0;943.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
