0.41,3,30.97,-2.1,2.6
0.33,4,31.01,-16.9,-6.7
0.19,5,31.11,-25.1,-10.3
0.23,6,31.03,-24.7,-14.5
0.13,7,31.06,-18.9,-8.4
0.18,8,30.93,-16.1,-4.1
0.25,9,30.97,-6.8,-2.3
0.25,10,31.07,-3.7,0.2
0.22,11,31.03,-8.2,8.8
0.14,12,30.91,-15.2,-3.7
0.24,13,31.03,-5,4.1
0.18,14,31.07,-4.5,9.1
0.21,15,31.12,-10.6,2.1
0.18,16,30.88,-1.2,3.8
0.24,17,31,-2.5,7.6
0.4,18,30.94,-2.2,15.3
0.65,19,31.04,5.5,24.8
1.04,20,31.01,6.6,16.8
1.19,21,30.95,3.7,20.4
1.32,22,30.97,5.1,10.1
1.4,23,30.89,16.1,26.4
1.73,24,31,10.4,15.1
1.96,25,30.86,7,23.1
1.91,26,30.86,13.8,21.4
2.11,27,30.93,12.1,19.2
2.3,28,31.01,17.4,30.8
2.58,29,31.02,10.2,29.1
2.85,30,30.99,9.6,26.7
2.89,31,31.02,10.5,25.7
2.97,32,31.06,13.1,23.7
2.94,33,31.05,10.5,21.7
2.89,34,31.05,6.7,23.9
2.88,35,31.08,7.4,23.3
2.98,36,31.08,14.9,24.6
2.87,37,31,10.8,20.5
2.67,38,30.91,5.6,15
2.6,39,31,11.1,17.8
2.56,40,31.22,5.9,22.7
2.49,41,30.98,4.6,16.4
2.33,42,31,7.2,19.5
2.29,43,31.06,2,11.6
1.96,44,30.98,-2.8,3.8
1.45,45,31.05,-3.4,5.4
1.05,46,30.93,-2.5,3.4
0.82,47,30.87,-1.6,9.8
0.69,48,30.95,-8.3,-0.6
0.43,49,31,-21.5,-8.6
0.38,50,31.04,-15.6,-4.2
0.42,51,30.98,-31.5,-18
0.45,52,31.06,-11.6,-8.9
0.47,53,31.1,-13.6,-1.8
0.38,2,31.01,-31.2,-13.9
0.49,3,30.96,-8.3,3.8
0.5,4,30.9,-7.8,0
0.6,5,31.03,-15.1,-8.3
0.4,6,30.92,-20,-3.6
0.37,7,31.06,-20.3,-7.4
0.34,8,30.99,-14.5,-7.1
0.53,9,31.06,-4.3,3.9
0.29,10,30.99,-21.5,-8.4
0.21,11,31.1,-11.6,0.6
0.33,12,31.02,-11.8,3.6
0.27,13,30.94,-11.5,0.1
0.24,14,31.06,-2.5,2.6
0.24,15,31.09,-0.9,4.2
0.24,16,31.05,-2.2,11.2
0.32,17,31.08,-3,8.7
0.36,18,30.99,1,5.1
0.6,19,30.84,5.6,14
0.79,20,30.97,9.3,24.4
1.11,21,30.92,6.2,16.7
1.42,22,30.85,8.1,20.7
1.77,23,31,6.4,20.7
2,24,30.85,12.5,28.9
2.13,25,31.02,11.1,20.6
2.26,26,31.06,6.7,18.4
2.4,27,31.01,13.3,29.2
2.83,28,31.08,11.3,26.9
2.85,29,30.84,10.9,27.3
3.03,30,31.01,11.9,26.1
2.98,31,30.94,12.3,25.4
2.83,32,31,12.1,26.1
